state,commodity,modal_price
Andhra Pradesh,Groundnut,4000
Andhra Pradesh,Tamarind Fruit,5800
Andhra Pradesh,Tamarind Seed,1800
Andhra Pradesh,Gur(Jaggery),3000
Andhra Pradesh,Gur(Jaggery),2500
Andhra Pradesh,Tomato,380
Andhra Pradesh,Tomato,240
Andhra Pradesh,Tomato,200
Andhra Pradesh,Beetroot,300
Andhra Pradesh,Bhindi(Ladies Finger),800
Andhra Pradesh,Bitter gourd,550
Andhra Pradesh,Bottle gourd,150
Andhra Pradesh,Brinjal,400
Andhra Pradesh,Cabbage,230
Andhra Pradesh,Carrot,1050
Andhra Pradesh,Cauliflower,300
Andhra Pradesh,Cluster beans,1100
Andhra Pradesh,Green Chilli,1400
Andhra Pradesh,Potato,1000
Andhra Pradesh,Raddish,400
Andhra Pradesh,Ridgeguard(Tori),1500
Andhra Pradesh,Sweet Potato,2000
Andhra Pradesh,Tomato,460
Andhra Pradesh,Groundnut,3500
Andhra Pradesh,Gur(Jaggery),2600
Andhra Pradesh,Tomato,250
Andhra Pradesh,Gur(Jaggery),2000
Andhra Pradesh,Gur(Jaggery),2250
Andhra Pradesh,Ground Nut Seed,6300
Andhra Pradesh,Groundnut,4000
Andhra Pradesh,Groundnut (Split),4583
Andhra Pradesh,Paddy(Dhan),1466
Andhra Pradesh,Paddy(Dhan),1700
Andhra Pradesh,Gur(Jaggery),2000
Andhra Pradesh,Banana,150
Andhra Pradesh,Paddy(Dhan),1550
Andhra Pradesh,Banana,200
Andhra Pradesh,Banana,150
Andhra Pradesh,Banana,450
Andhra Pradesh,Banana,200
Andhra Pradesh,Banana,150
Andhra Pradesh,Banana,200
Andhra Pradesh,Turmeric,4800
Andhra Pradesh,Turmeric,6500
Andhra Pradesh,Cotton,4600
Andhra Pradesh,Cotton,4800
Andhra Pradesh,Paddy(Dhan),2000
Andhra Pradesh,Maize,1400
Andhra Pradesh,Paddy(Dhan),1650
Andhra Pradesh,Bengal Gram(Gram),5000
Andhra Pradesh,Maize,1425
Andhra Pradesh,Paddy(Dhan),1700
Andhra Pradesh,Sunflower,4000
Andhra Pradesh,Bengal Gram(Gram),3950
Andhra Pradesh,Jowar(Sorghum),1400
Andhra Pradesh,Paddy(Dhan),1450
Andhra Pradesh,Rice,3500
Andhra Pradesh,Lemon,1500
Andhra Pradesh,Paddy(Dhan),1550
Andhra Pradesh,Cashew Kernnel,12000
Andhra Pradesh,Cotton,4500
Andhra Pradesh,Paddy(Dhan),1550
Andhra Pradesh,Rice,3000
Andhra Pradesh,Paddy(Dhan),1550
Andhra Pradesh,Paddy(Dhan),1550
Andhra Pradesh,Paddy(Dhan),1550
Andhra Pradesh,Paddy(Dhan),1550
Andhra Pradesh,Paddy(Dhan),1550
Andhra Pradesh,Cashewnuts,12800
Andhra Pradesh,Paddy(Dhan),1570
Andhra Pradesh,Maize,1430
Andhra Pradesh,Paddy(Dhan),1570
Andhra Pradesh,Paddy(Dhan),1590
Andhra Pradesh,Maize,1450
Andhra Pradesh,Paddy(Dhan),1570
Andhra Pradesh,Coconut,6500
Andhra Pradesh,Paddy(Dhan),1480
Andhra Pradesh,Lime,1500
Andhra Pradesh,Paddy(Dhan),1540
Andhra Pradesh,Rice,2400
Andhra Pradesh,Maize,1410
Andhra Pradesh,Paddy(Dhan),1470
Andhra Pradesh,Black Gram (Urd Beans),4800
Andhra Pradesh,Paddy(Dhan),1590
Assam,Black Gram (Urd Beans),2800
Assam,Corriander seed,3250
Assam,Jute,3850
Assam,Mustard,3375
Assam,Brinjal,1100
Assam,Cabbage,350
Assam,Cauliflower,1100
Assam,Cucumbar(Kheera),1100
Assam,Fish,35000
Assam,Fish,45000
Assam,Green Chilli,2800
Assam,Maida Atta,2200
Assam,Mustard Oil,9000
Assam,Onion,3200
